# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	380056	380625	-							EYE35_RS17895	570		old_locus_tag=EYE35_17895
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	380056	380625	-	WP_069332896.1	WP_069332896.1		RnfABCDGE type electron transport complex subunit B			EYE35_RS17895	570	189	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	380645	381226	-					rsxA		EYE35_RS17900	582		old_locus_tag=EYE35_17900
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	380645	381226	-	WP_137458846.1	WP_137458846.1		electron transport complex subunit RsxA	rsxA		EYE35_RS17900	582	193	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	381712	383007	+							EYE35_RS17905	1296		old_locus_tag=EYE35_17905
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	381712	383007	+	WP_137458847.1	WP_137458847.1		FprA family A-type flavoprotein			EYE35_RS17905	1296	431	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383036	383323	+							EYE35_RS17910	288		old_locus_tag=EYE35_17910
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383036	383323	+	WP_009561381.1	WP_009561381.1		2Fe-2S iron-sulfur cluster binding domain-containing protein			EYE35_RS17910	288	95	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383374	383571	+							EYE35_RS17915	198		old_locus_tag=EYE35_17915
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383374	383571	+	WP_009561380.1	WP_009561380.1		ferredoxin			EYE35_RS17915	198	65	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383576	384073	+							EYE35_RS17920	498		old_locus_tag=EYE35_17920
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	383576	384073	+	WP_137458848.1	WP_137458848.1		Fis family transcriptional regulator			EYE35_RS17920	498	165	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	384061	385161	+							EYE35_RS17925	1101		old_locus_tag=EYE35_17925
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	384061	385161	+	WP_137458849.1	WP_137458849.1		FAD:protein FMN transferase			EYE35_RS17925	1101	366	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	385425	387020	+							EYE35_RS17930	1596		old_locus_tag=EYE35_17930
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	385425	387020	+	WP_137458850.1	WP_137458850.1		glucan biosynthesis protein D			EYE35_RS17930	1596	531	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	387108	387470	-							EYE35_RS17935	363		old_locus_tag=EYE35_17935
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	387108	387470	-	WP_137458851.1	WP_137458851.1		hypothetical protein			EYE35_RS17935	363	120	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	388083	388760	+							EYE35_RS17940	678		old_locus_tag=EYE35_17940
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	388083	388760	+	WP_115474572.1	WP_115474572.1		cobalt transporter			EYE35_RS17940	678	225	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	388991	390316	+							EYE35_RS17945	1326		old_locus_tag=EYE35_17945
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	388991	390316	+	WP_137458852.1	WP_137458852.1		cobyrinate a,c-diamide synthase			EYE35_RS17945	1326	441	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	390468	391628	+							EYE35_RS17950	1161		old_locus_tag=EYE35_17950
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	390468	391628	+	WP_137458853.1	WP_137458853.1		acetyl-CoA C-acyltransferase			EYE35_RS17950	1161	386	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	391628	392389	+							EYE35_RS17955	762		old_locus_tag=EYE35_17955
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	391628	392389	+	WP_137458854.1	WP_137458854.1		SDR family NAD(P)-dependent oxidoreductase			EYE35_RS17955	762	253	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	392386	393519	+							EYE35_RS17960	1134		old_locus_tag=EYE35_17960
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	392386	393519	+	WP_137458855.1	WP_137458855.1		acyl-CoA dehydrogenase			EYE35_RS17960	1134	377	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	393516	394697	+							EYE35_RS17965	1182		old_locus_tag=EYE35_17965
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	393516	394697	+	WP_137458856.1	WP_137458856.1		CoA transferase			EYE35_RS17965	1182	393	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	394701	395513	-							EYE35_RS17970	813		old_locus_tag=EYE35_17970
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	394701	395513	-	WP_115474561.1	WP_115474561.1		transglutaminase family protein			EYE35_RS17970	813	270	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	395643	396083	-							EYE35_RS17975	441		old_locus_tag=EYE35_17975
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	395643	396083	-	WP_069332935.1	WP_069332935.1		transcriptional repressor			EYE35_RS17975	441	146	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	396233	396742	+					fabA		EYE35_RS17980	510		old_locus_tag=EYE35_17980
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	396233	396742	+	WP_002723732.1	WP_002723732.1		bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase	fabA		EYE35_RS17980	510	169	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	396762	397991	+					fabB		EYE35_RS17985	1230		old_locus_tag=EYE35_17985
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	396762	397991	+	WP_115474559.1	WP_115474559.1		beta-ketoacyl-ACP synthase I	fabB		EYE35_RS17985	1230	409	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	398002	398790	+							EYE35_RS17990	789		old_locus_tag=EYE35_17990
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	398002	398790	+	WP_069332933.1	WP_069332933.1		SDR family oxidoreductase			EYE35_RS17990	789	262	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	398977	399402	+							EYE35_RS17995	426		old_locus_tag=EYE35_17995
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	398977	399402	+	WP_137458857.1	WP_137458857.1		lactoylglutathione lyase			EYE35_RS17995	426	141	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	399635	401134	+							EYE35_RS18000	1500		old_locus_tag=EYE35_18000
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	399635	401134	+	WP_112329620.1	WP_112329620.1		nitrate reductase			EYE35_RS18000	1500	499	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	401157	401990	-							EYE35_RS18005	834		old_locus_tag=EYE35_18005
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	401157	401990	-	WP_137458858.1	WP_137458858.1		sulfite exporter TauE/SafE family protein			EYE35_RS18005	834	277	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	401990	402856	-							EYE35_RS18010	867		old_locus_tag=EYE35_18010
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	401990	402856	-	WP_137458859.1	WP_137458859.1		NAD(P)-dependent oxidoreductase			EYE35_RS18010	867	288	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	402857	403468	-							EYE35_RS18015	612		old_locus_tag=EYE35_18015
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	402857	403468	-	WP_112329623.1	WP_112329623.1		RraA family protein			EYE35_RS18015	612	203	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	403474	404172	-							EYE35_RS18020	699		old_locus_tag=EYE35_18020
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	403474	404172	-	WP_101328132.1	WP_101328132.1		fumarylacetoacetate hydrolase family protein			EYE35_RS18020	699	232	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	404394	405425	+							EYE35_RS18025	1032		old_locus_tag=EYE35_18025
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	404394	405425	+	WP_137458860.1	WP_137458860.1		ABC transporter substrate-binding protein			EYE35_RS18025	1032	343	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	405425	406240	+							EYE35_RS18030	816		old_locus_tag=EYE35_18030
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	405425	406240	+	WP_002723717.1	WP_002723717.1		ABC transporter ATP-binding protein			EYE35_RS18030	816	271	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	406237	407082	+							EYE35_RS18035	846		old_locus_tag=EYE35_18035
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	406237	407082	+	WP_069333470.1	WP_069333470.1		ABC transporter permease			EYE35_RS18035	846	281	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	407082	407822	+							EYE35_RS18040	741		old_locus_tag=EYE35_18040
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	407082	407822	+	WP_137458861.1	WP_137458861.1		GntR family transcriptional regulator			EYE35_RS18040	741	246	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	407909	408367	+							EYE35_RS18045	459		old_locus_tag=EYE35_18045
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	407909	408367	+	WP_137458862.1	WP_137458862.1		(2Fe-2S)-binding protein			EYE35_RS18045	459	152	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	408371	410506	+							EYE35_RS18050	2136		old_locus_tag=EYE35_18050
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	408371	410506	+	WP_137458863.1	WP_137458863.1		xanthine dehydrogenase family protein molybdopterin-binding subunit			EYE35_RS18050	2136	711	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	410514	411101	+							EYE35_RS18055	588		old_locus_tag=EYE35_18055
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	410514	411101	+	WP_137458864.1	WP_137458864.1		Isoquinoline 1-oxidoreductase subunit			EYE35_RS18055	588	195	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	411219	412844	-							EYE35_RS18060	1626		old_locus_tag=EYE35_18060
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	411219	412844	-	WP_137458865.1	WP_137458865.1		GMC family oxidoreductase			EYE35_RS18060	1626	541	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	413357	415972	+					mprF		EYE35_RS18065	2616		old_locus_tag=EYE35_18065
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	413357	415972	+	WP_137458866.1	WP_137458866.1		bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	mprF		EYE35_RS18065	2616	871	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	416190	417185	+							EYE35_RS18070	996		old_locus_tag=EYE35_18070
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	416190	417185	+	WP_137458867.1	WP_137458867.1		HlyD family efflux transporter periplasmic adaptor subunit			EYE35_RS18070	996	331	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	417190	419895	+							EYE35_RS18075	2706		old_locus_tag=EYE35_18075
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	417190	419895	+	WP_137458868.1	WP_137458868.1		ATP-binding cassette domain-containing protein			EYE35_RS18075	2706	901	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	419897	421021	+							EYE35_RS18080	1125		old_locus_tag=EYE35_18080
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	419897	421021	+	WP_137458869.1	WP_137458869.1		ABC transporter permease			EYE35_RS18080	1125	374	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	421152	421913	-							EYE35_RS18085	762		old_locus_tag=EYE35_18085
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	421152	421913	-	WP_069333460.1	WP_069333460.1		sulfite exporter TauE/SafE family protein			EYE35_RS18085	762	253	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	421926	422822	-							EYE35_RS18090	897		old_locus_tag=EYE35_18090
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	421926	422822	-	WP_069333459.1	WP_069333459.1		LysR family transcriptional regulator			EYE35_RS18090	897	298	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	423003	424655	+							EYE35_RS18095	1653		old_locus_tag=EYE35_18095
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	423003	424655	+	WP_137458870.1	WP_137458870.1		thiamine pyrophosphate-binding protein			EYE35_RS18095	1653	550	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	424706	425482	+							EYE35_RS18100	777		old_locus_tag=EYE35_18100
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	424706	425482	+	WP_069330214.1	WP_069330214.1		ABC transporter ATP-binding protein			EYE35_RS18100	777	258	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	425475	426386	+							EYE35_RS18105	912		old_locus_tag=EYE35_18105
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	425475	426386	+	WP_069330212.1	WP_069330212.1		ABC transporter permease			EYE35_RS18105	912	303	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	426564	427571	+							EYE35_RS18110	1008		old_locus_tag=EYE35_18110
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	426564	427571	+	WP_101328143.1	WP_101328143.1		ABC transporter substrate-binding protein			EYE35_RS18110	1008	335	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	427571	428563	+							EYE35_RS18115	993		old_locus_tag=EYE35_18115
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	427571	428563	+	WP_137458871.1	WP_137458871.1		ABC transporter substrate-binding protein			EYE35_RS18115	993	330	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	428842	429570	+							EYE35_RS18120	729		old_locus_tag=EYE35_18120
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	428842	429570	+	WP_137458872.1	WP_137458872.1		succinate dehydrogenase/fumarate reductase iron-sulfur subunit			EYE35_RS18120	729	242	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	429574	429909	+							EYE35_RS18125	336		old_locus_tag=EYE35_18125
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	429574	429909	+	WP_101328146.1	WP_101328146.1		succinate dehydrogenase			EYE35_RS18125	336	111	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	429906	430250	+					sdhC		EYE35_RS18130	345		old_locus_tag=EYE35_18130
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	429906	430250	+	WP_137458873.1	WP_137458873.1		succinate dehydrogenase, cytochrome b556 subunit	sdhC		EYE35_RS18130	345	114	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	430252	432015	+							EYE35_RS18135	1764		old_locus_tag=EYE35_18135
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	430252	432015	+	WP_137458874.1	WP_137458874.1		FAD-binding protein			EYE35_RS18135	1764	587	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	432012	432974	+							EYE35_RS18140	963		old_locus_tag=EYE35_18140
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	432012	432974	+	WP_069330206.1	WP_069330206.1		fumarate hydratase			EYE35_RS18140	963	320	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	432938	433618	+							EYE35_RS18145	681		old_locus_tag=EYE35_18145
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	432938	433618	+	WP_069330205.1	WP_069330205.1		fumarate hydratase			EYE35_RS18145	681	226	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	433615	434613	+							EYE35_RS18150	999		old_locus_tag=EYE35_18150
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	433615	434613	+	WP_069330204.1	WP_069330204.1		putative sulfate exporter family transporter			EYE35_RS18150	999	332	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	434623	434964	+							EYE35_RS18155	342		old_locus_tag=EYE35_18155
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	434623	434964	+	WP_069330203.1	WP_069330203.1		NIPSNAP family protein			EYE35_RS18155	342	113	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	435030	436760	-							EYE35_RS18160	1731		old_locus_tag=EYE35_18160
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	435030	436760	-	WP_101328148.1	WP_101328148.1		cation acetate symporter			EYE35_RS18160	1731	576	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	436757	437065	-							EYE35_RS18165	309		old_locus_tag=EYE35_18165
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	436757	437065	-	WP_069330201.1	WP_069330201.1		DUF485 domain-containing protein			EYE35_RS18165	309	102	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	437720	438301	-							EYE35_RS18170	582		old_locus_tag=EYE35_18170
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	437720	438301	-	WP_137458875.1	WP_137458875.1		hypothetical protein			EYE35_RS18170	582	193	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	438514	438975	+							EYE35_RS18175	462		old_locus_tag=EYE35_18175
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	438514	438975	+	WP_137458876.1	WP_137458876.1		DUF2243 domain-containing protein			EYE35_RS18175	462	153	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	439292	440131	-							EYE35_RS18180	840		old_locus_tag=EYE35_18180
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	439292	440131	-	WP_137458877.1	WP_137458877.1		SMP-30/gluconolactonase/LRE family protein			EYE35_RS18180	840	279	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	440568	442181	+							EYE35_RS18185	1614		old_locus_tag=EYE35_18185
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	440568	442181	+	WP_137458878.1	WP_137458878.1		FAD-NAD(P)-binding protein			EYE35_RS18185	1614	537	
gene	pseudogene	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	442264	442450	+							EYE35_RS18190	187		partial;pseudo;old_locus_tag=EYE35_18190
CDS	without_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	442264	442450	+				4,5-DOPA dioxygenase extradiol			EYE35_RS18190	187		partial;pseudo
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	442612	442917	+							EYE35_RS18195	306		old_locus_tag=EYE35_18195
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	442612	442917	+	WP_101328153.1	WP_101328153.1		hypothetical protein			EYE35_RS18195	306	101	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	443002	443451	+							EYE35_RS18200	450		old_locus_tag=EYE35_18200
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	443002	443451	+	WP_137458879.1	WP_137458879.1		DoxX family protein			EYE35_RS18200	450	149	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	443744	444319	+							EYE35_RS18205	576		old_locus_tag=EYE35_18205
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	443744	444319	+	WP_137458880.1	WP_137458880.1		alpha/beta hydrolase			EYE35_RS18205	576	191	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	444347	444787	+							EYE35_RS18210	441		old_locus_tag=EYE35_18210
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	444347	444787	+	WP_137458881.1	WP_137458881.1		hypothetical protein			EYE35_RS18210	441	146	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	444860	445537	-							EYE35_RS18215	678		old_locus_tag=EYE35_18215
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	444860	445537	-	WP_137458882.1	WP_137458882.1		metal-binding protein ZinT			EYE35_RS18215	678	225	
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	446060	446133	-							EYE35_RS18220	74		old_locus_tag=EYE35_18220
tRNA		GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	446060	446133	-				tRNA-Gly			EYE35_RS18220	74		anticodon=TCC
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	446314	447480	+							EYE35_RS18225	1167		old_locus_tag=EYE35_18225
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	446314	447480	+	WP_112329752.1	WP_112329752.1		AI-2E family transporter			EYE35_RS18225	1167	388	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	447538	447792	+							EYE35_RS18230	255		old_locus_tag=EYE35_18230
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	447538	447792	+	WP_069331379.1	WP_069331379.1		GlsB/YeaQ/YmgE family stress response membrane protein			EYE35_RS18230	255	84	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	447971	449002	+							EYE35_RS18235	1032		old_locus_tag=EYE35_18235
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	447971	449002	+	WP_137458883.1	WP_137458883.1		hypothetical protein			EYE35_RS18235	1032	343	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	449363	450802	+							EYE35_RS18240	1440		old_locus_tag=EYE35_18240
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	449363	450802	+	WP_137458884.1	WP_137458884.1		D-amino acid dehydrogenase			EYE35_RS18240	1440	479	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	451022	451498	-							EYE35_RS18245	477		old_locus_tag=EYE35_18245
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	451022	451498	-	WP_112329645.1	WP_112329645.1		VOC family protein			EYE35_RS18245	477	158	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	451509	452207	-							EYE35_RS18250	699		old_locus_tag=EYE35_18250
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	451509	452207	-	WP_137458885.1	WP_137458885.1		glutathione S-transferase family protein			EYE35_RS18250	699	232	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	452239	452895	-							EYE35_RS18255	657		old_locus_tag=EYE35_18255
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	452239	452895	-	WP_137458886.1	WP_137458886.1		glutathione S-transferase family protein			EYE35_RS18255	657	218	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	452982	453446	+							EYE35_RS18260	465		old_locus_tag=EYE35_18260
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	452982	453446	+	WP_069331283.1	WP_069331283.1		MarR family transcriptional regulator			EYE35_RS18260	465	154	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	453599	455287	+							EYE35_RS18265	1689		old_locus_tag=EYE35_18265
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	453599	455287	+	WP_137458887.1	WP_137458887.1		methyl-accepting chemotaxis protein			EYE35_RS18265	1689	562	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	455918	456190	+							EYE35_RS18270	273		old_locus_tag=EYE35_18270
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	2	NZ_CP036420.1	455918	456190	+	WP_137458888.1	WP_137458888.1		metal/formaldehyde-sensitive transcriptional repressor			EYE35_RS18270	273	90	
